"merchant_size","division","category","amount","count"
Small,Khulna,Eating and Drinking,3115535.84,1364
Medium,Chittagong,Eating and Drinking,7461742.72,2020
Medium,Khulna,Automotive,3592350.80,748
Medium,Dhaka,Eating and Drinking,23872376.34,6440
Medium,Dhaka,Cell Phones & Accessories,66248767.03,12678
Medium,Khulna,Computers & Electronics,4759681.00,886
Medium,Dhaka,Automotive,2200890.35,778
Small,Dhaka,Eating and Drinking,9148757.80,11166
Small,Khulna,Computers & Electronics,3790615.26,855
Medium,Dhaka,Computers & Electronics,13067290.56,3071
Medium,Chittagong,Leather & Clothing,5241220.44,1537
Medium,Dhaka,Home & Kitchen,1882906.57,584
Medium,Dhaka,Sports & Music,833798.00,243
Small,Dhaka,Leather & Clothing,11456477.74,2311
Large,Dhaka,Automotive,741336.01,215
Medium,Chittagong,Lifestyle,457331.15,140
Small,Khulna,Books & Stationery,4589981.50,937
Medium,Dhaka,Grocery (Convenience),4642381.31,825
Small,Chittagong,Grocery (Convenience),1798.05,21
Medium,Dhaka,Books & Stationery,4572018.33,1040
Small,Dhaka,Cell Phones & Accessories,31994935.00,5955
Small,Chittagong,Books & Stationery,282507.11,61
Micro,Khulna,Computers & Electronics,699318.00,114
Medium,Chittagong,Institutions and Service Providers,351274.39,165
Small,Sylhet,Eating and Drinking,10441.55,38
Medium,Dhaka,Lifestyle,7294236.99,1542
Medium,Dhaka,Leather & Clothing,11148593.07,3240
Small,Dhaka,Hardware,1809413.31,398
Medium,Dhaka,Hardware,5925044.45,1403
Small,Dhaka,Computers & Electronics,6343316.87,1337
Small,Dhaka,Home & Kitchen,1373149.52,305
Medium,Khulna,Leather & Clothing,2598205.29,717
Micro,Dhaka,Computers & Electronics,735552.07,220
Medium,Khulna,Cell Phones & Accessories,13391754.64,2994
Medium,Chittagong,Cell Phones & Accessories,27818611.10,5807
Small,Khulna,Leather & Clothing,1816267.13,738
Small,Chittagong,Cell Phones & Accessories,5386543.37,1042
Micro,Sylhet,Cell Phones & Accessories,1916194.07,341
Small,Dhaka,Automotive,2463379.75,705
Small,Chittagong,Hardware,634.00,8
Small,Dhaka,Lifestyle,2367019.88,711
Medium,Rajshahi,Eating and Drinking,14012585.29,2916
Medium,Rajshahi,Grocery (Convenience),3919319.76,697
Small,Chittagong,Leather & Clothing,357392.33,131
Small,Khulna,Automotive,3657824.42,761
Medium,Rajshahi,Unstructure Merchant,50.00,1
Medium,Chittagong,Computers & Electronics,1588003.01,457
Medium,Barisal,Eating and Drinking,3720507.70,734
Small,Barisal,Eating and Drinking,659484.07,359
Medium,Barisal,Automotive,144186.00,51
Medium,Khulna,Eating and Drinking,11947780.73,3484
Medium,Barisal,Lifestyle,1769565.10,203
Small,Barisal,Automotive,126101.00,38
Small,Dhaka,Books & Stationery,3684974.83,907
Small,Sylhet,Books & Stationery,3862414.74,818
Medium,Barisal,Leather & Clothing,460858.00,281
Medium,Dhaka,Institutions and Service Providers,451679.10,186
Small,Barisal,Leather & Clothing,1567299.75,405
Micro,Chittagong,Eating and Drinking,95703.81,146
Medium,Chittagong,Hardware,541880.70,205
